cpu_avg,cpu_max,cpu_min,cpu_std,cpu_trend,cpu_range,cpu_variance,memory_avg,memory_max,memory_min,memory_std,memory_range,memory_trend,disk_avg,disk_max,disk_min,disk_std,disk_range,disk_trend,network_in_avg,network_out_avg,network_in_std,network_out_std,process_avg,process_max,process_min,process_std,running_process_avg,thread_avg,crash_label
37.89833333333333,61.7,18.1,11.856350535582141,0.07794109474854125,43.6,140.57304802259893,71.80333333333333,72.5,71.3,0.295139534174546,1.2000000000000028,-0.008507918866351667,4.1,4.1,4.1,0.0,0.0,0.0,3321079927.4666667,2873023778.133333,4454912.920423495,4014993.2435969384,730.6,733.0,718.0,4.727130494482293,357.6,2059.0,1
32.40833333333333,55.7,19.7,10.117048736723717,-0.43816337871631006,36.0,102.35467514124296,71.825,72.5,71.3,0.33018998126656257,1.2000000000000028,0.005643234231730969,4.1,4.1,4.1,0.0,0.0,0.0,3330066841.6,2881207654.4,4276043.451269977,3920715.7068595993,722.6666666666666,733.0,718.0,6.010348890481378,349.6666666666667,2036.1166666666666,1
23.313333333333336,29.4,18.0,2.6843215010322354,-0.09484856904695747,11.399999999999999,7.205581920903954,71.75833333333331,72.5,71.2,0.3341022205632723,1.2999999999999972,-0.00848291191997767,4.1,4.1,4.1,0.0,0.0,0.0,3338560904.5333333,2888896989.866667,4244266.9190401165,3805124.9280315046,719.5833333333334,720.0,718.0,0.5301636033600228,346.5833333333333,2029.7833333333333,1
25.080000000000002,50.8,18.0,7.272161919474211,0.12333425951653237,32.8,52.88433898305084,71.89500000000001,72.8,71.2,0.36611797672520147,1.5999999999999943,0.01455682133926085,4.1,4.1,4.1,0.0,0.0,0.0,3347404185.6,2896939758.9333334,4353677.481615211,4020833.1040488677,719.0,720.0,718.0,0.7811334658849433,346.0,2028.8833333333334,1
28.52333333333333,50.8,18.9,8.649372793302074,-0.17023061961656014,31.9,74.81164971751411,72.12999999999997,72.8,71.7,0.3351195081545726,1.0999999999999943,0.007524312308974758,4.1,4.1,4.1,0.0,0.0,0.0,3356052241.0666666,2905020228.266667,4275496.532411588,4021629.016885326,719.3833333333333,721.0,718.0,0.8252717408997374,346.3833333333333,2039.6,0
23.285,43.5,18.9,4.509606506942444,-0.10129758266185047,24.6,20.336550847457634,72.01,72.8,71.5,0.3771885290417492,1.2999999999999972,-0.0130313976104474,4.1,4.1,4.1,0.0,0.0,0.0,3364518434.133333,2912863812.266667,4154684.8180305334,3786354.756255768,719.1833333333333,721.0,718.0,0.8334463200240204,346.18333333333334,2027.4166666666667,0
24.368333333333332,49.0,18.3,7.965359146183154,-0.014801333703806601,30.7,63.44694632768363,71.86666666666669,72.6,71.5,0.26532146582210125,1.0999999999999943,0.008752431230897487,4.1,4.1,4.1,0.0,0.0,0.0,3373495415.4666667,2921112797.866667,4289903.924977371,3969177.594751855,718.1166666666667,720.0,717.0,0.8455600223594002,345.1166666666667,2004.7166666666667,0
22.345000000000002,32.8,17.2,4.030284718882059,0.05892470130591831,15.599999999999998,16.243194915254232,71.96999999999998,72.6,71.6,0.31638851893716685,1.0,-0.0019560989163656833,4.1,4.1,4.1,0.0,0.0,0.0,3381901397.3333335,2928872857.6,4102370.1853695055,3764069.5129804285,718.1666666666666,719.0,717.0,0.7170246117012378,345.1666666666667,2009.75,0
25.401666666666667,41.7,17.2,6.714252275258891,0.11276743539872189,24.500000000000004,45.0811836158192,71.92999999999998,72.8,71.6,0.31745812482428143,1.2000000000000028,0.0005501528202278884,4.1,4.1,4.1,0.0,0.0,0.0,3390416810.6666665,2936702941.866667,4187845.685817279,3872774.709088411,719.1666666666666,720.0,718.0,0.492887262066433,346.1666666666667,2030.1166666666666,0
28.88333333333333,49.0,19.3,8.512665870688728,0.11744929146985274,29.7,72.46548022598868,71.99166666666669,72.8,71.5,0.36559293222161027,1.2999999999999972,-0.0005195887746596451,4.1,4.1,4.1,0.0,0.0,0.0,3398908228.266667,2944641194.6666665,4249716.954336996,3995770.6246143994,719.3,721.0,718.0,0.9075950713612994,346.3,2032.8333333333333,0
22.868333333333332,42.8,16.9,7.481332512206103,-0.2543956654626285,25.9,55.97033615819208,71.87333333333332,72.8,71.6,0.3041334824402647,1.2000000000000028,-0.011553209224784635,4.1,4.1,4.1,0.0,0.0,0.0,3407367560.5333333,2952611328.0,4194778.634550142,3942369.469219224,718.1666666666666,721.0,717.0,1.0603272067200455,345.1666666666667,2012.7833333333333,0
17.768333333333334,21.7,16.8,0.9937928827403177,0.009427618782995275,4.899999999999999,0.9876242937853109,71.75166666666668,72.0,71.6,0.10655096125626021,0.4000000000000057,0.0035426507363157276,4.1,4.1,4.1,0.0,0.0,0.0,3416044202.6666665,2960620288.0,4249366.134576423,3856527.9078795514,717.45,718.0,717.0,0.501692052213544,344.45,1989.9,0
19.16,44.2,16.8,4.904173248799158,0.023223117532647962,27.400000000000002,24.05091525423729,71.90666666666665,72.1,71.7,0.10555208637375624,0.3999999999999915,0.003445401500416812,4.1,4.1,4.1,0.0,0.0,0.0,3424480238.9333334,2968298632.5333333,4184531.0910101472,3816886.6089222175,718.5833333333334,720.0,717.0,1.029919639232516,345.5833333333333,2037.6,0
20.235000000000003,25.5,16.7,2.740581714817717,0.07642956376771325,8.8,7.51078813559322,71.90333333333336,72.1,70.6,0.30696252002576074,1.5,-0.005646012781328231,4.1,4.1,4.1,0.0,0.0,0.0,3433181440.0,2976126395.733333,4294428.469971556,3804927.3858823855,719.45,720.0,719.0,0.501692052213544,346.45,2056.4333333333334,0
26.588333333333328,40.3,19.7,6.152499606861376,0.11705751597666018,20.599999999999998,37.85325141242939,71.28,72.1,70.5,0.5999435001646671,1.5999999999999943,-0.02707974437343712,4.1,4.1,4.1,0.0,0.0,0.0,3441838609.0666666,2983624567.4666667,4344433.596994547,3592701.6012429902,718.55,720.0,717.0,1.1111911458933896,345.55,2031.2166666666667,0
27.240000000000002,40.0,19.9,5.3829674885745735,-0.048191164212281194,20.1,28.97633898305085,70.92999999999998,71.5,70.6,0.3104398192177245,0.9000000000000057,0.004223395387607727,4.1,4.1,4.1,0.0,0.0,0.0,3450587682.133333,2988223556.266667,4181111.232519759,983020.3634950265,718.0666666666667,719.0,717.0,0.6604227374117244,345.06666666666666,1999.5333333333333,0
27.29333333333333,37.2,18.4,4.949982594274027,-0.017149208113364824,18.800000000000004,24.502327683615828,71.21499999999999,71.7,70.0,0.33487918388071,1.7000000000000028,0.0062322867463184195,4.1,4.1,4.1,0.0,0.0,0.0,3458935876.266667,2989783261.866667,4202265.164272958,767680.9569600957,719.1666666666666,720.0,718.0,0.7402854847084714,346.1666666666667,2006.15,0
40.75166666666666,60.8,18.4,14.682913991331423,0.7701389274798555,42.4,215.5879632768361,71.21333333333334,71.7,70.0,0.3567587926851862,1.7000000000000028,-0.0019449847179772292,4.1,4.1,4.1,0.0,0.0,0.0,3529873425.0666666,2993074346.6666665,77356620.68534765,2905555.701767398,716.8,721.0,709.0,4.402618635250801,347.65,2088.516666666667,0
48.98666666666667,60.8,28.7,11.222215658852102,-0.2883856626840789,32.099999999999994,125.93812429378534,71.87666666666668,73.6,70.7,0.7902727841994354,2.8999999999999915,0.040861350375104175,4.1,4.1,4.1,0.0,0.0,0.0,3638582886.4,3000252074.6666665,37423392.56830623,4365822.959057811,712.8833333333333,720.0,709.0,4.059271315866828,347.9,2129.4166666666665,0
45.59666666666666,59.8,28.7,9.427995934695389,0.12520144484579054,31.099999999999998,88.88710734463277,73.39666666666666,74.7,72.5,0.8132309836500089,2.200000000000003,0.03286468463462075,4.1,4.1,4.1,0.0,0.0,0.0,3701799492.266667,3009093700.266667,36556913.87436257,4617669.338892218,710.7,719.0,709.0,2.437698275290839,345.4,2061.633333333333,0
49.84166666666667,60.0,37.7,7.120566813913934,0.08818282856348984,22.299999999999997,50.702471751412425,74.52333333333331,75.4,72.9,0.8093451352930957,2.5,0.03420394554042796,4.1,4.1,4.1,0.0,0.0,0.0,3743224661.3333335,3016951773.866667,9720614.728773754,4744873.209705374,712.4166666666666,715.0,709.0,2.631566309812058,344.96666666666664,2052.95,0
51.57166666666667,60.0,37.7,6.937544421397968,-0.12536537927202,22.299999999999997,48.12952259887006,75.36833333333333,75.6,74.5,0.2658479664073753,1.0999999999999943,0.011300361211447478,4.1,4.1,4.1,0.0,0.0,0.0,3761596262.4,3025559074.133333,10330014.260288429,4633181.889066924,713.1833333333333,715.0,707.0,2.2207928548054188,344.45,2042.7666666666667,0
43.153333333333336,59.7,29.0,9.475990474891054,-0.39723256460127815,30.700000000000003,89.79439548022599,75.57333333333335,75.6,75.4,0.06069279874259071,0.19999999999998863,0.0014281744929146173,4.1,4.1,4.1,0.0,0.0,0.0,3777550438.4,3034345233.0666666,5835391.489632438,4154152.1291468595,709.7,714.0,707.0,2.32379000772445,343.3,2023.0166666666667,0
40.013333333333335,60.0,29.0,7.748974052741207,0.20179494303973325,31.0,60.04659887005649,75.49499999999998,75.6,74.0,0.271483682438756,1.5999999999999943,-0.007888302306196047,4.1,4.1,4.1,0.0,0.0,0.0,3787450965.3333335,3041569979.733333,9063838.420599705,4022361.445204292,708.3166666666667,709.0,707.0,0.6507275372101721,343.31666666666666,2012.4666666666667,0
46.82333333333333,60.0,31.3,8.800315222910987,0.1577938316198944,28.7,77.44554802259886,75.11333333333336,75.6,74.0,0.40816524846745106,1.5999999999999943,-0.01693248124479021,4.1,4.1,4.1,0.0,0.0,0.0,3827742412.8,3048997546.6666665,38633632.93273938,4806308.893472818,708.9,711.0,707.0,1.1153778716695835,343.7,2024.3833333333334,0
